genes,isoforms
G1,G1.iso1
G2,G2.iso1
G2,G2.iso2
G2,G2.iso3
G2,G2.iso4
G2,G2.iso5
G2,G2.iso6
G2,G2.iso7
G2,G2.iso8
G3,G3.iso1
G3,G3.iso2
G3,G3.iso3
G4,G4.iso1
G4,G4.iso2
G5,G5.iso1
G5,G5.iso2
G5,G5.iso3
G5,G5.iso4
G5,G5.iso5
G5,G5.iso6
G5,G5.iso7
G5,G5.iso8
G5,G5.iso9
G6,G6.iso1
G6,G6.iso2
G6,G6.iso3
G6,G6.iso4
G6,G6.iso5
G6,G6.iso6
G6,G6.iso7
G7,G7.iso1
G7,G7.iso2
G8,G8.iso1
G8,G8.iso2
G8,G8.iso3
G8,G8.iso4
G8,G8.iso5
G8,G8.iso6
G8,G8.iso7
G8,G8.iso8
G8,G8.iso9
G9,G9.iso1
G9,G9.iso2
G9,G9.iso3
G10,G10.iso1
G10,G10.iso2
G10,G10.iso3
G10,G10.iso4
G10,G10.iso5
G11,G11.iso1
G11,G11.iso2
G11,G11.iso3
G11,G11.iso4
G11,G11.iso5
G11,G11.iso6
G11,G11.iso7
G13,G13.iso1
G13,G13.iso2
G13,G13.iso3
G14,G14.iso1
G14,G14.iso2
G14,G14.iso3
G14,G14.iso4
G14,G14.iso5
G14,G14.iso6
G15,G15.iso1
G15,G15.iso2
G12,G12.iso1
G12,G12.iso2
G12,G12.iso3
G12,G12.iso4
G12,G12.iso5
G12,G12.iso6
G12,G12.iso7
G12,G12.iso8
G12,G12.iso9
G12,G12.iso10
G16,G16.iso1
G16,G16.iso2
G16,G16.iso3
G16,G16.iso4
G17,G17.iso1
G17,G17.iso2
G17,G17.iso3
G17,G17.iso4
G17,G17.iso5
G17,G17.iso6
G17,G17.iso7
G18,G18.iso1
G18,G18.iso2
G18,G18.iso3
G18,G18.iso4
G18,G18.iso5
G18,G18.iso6
G18,G18.iso7
G18,G18.iso8
G18,G18.iso9
G18,G18.iso10
G18,G18.iso11
G18,G18.iso12
G18,G18.iso13
G18,G18.iso14
G18,G18.iso15
G18,G18.iso16
G18,G18.iso17
G18,G18.iso18
G19,G19.iso1
G19,G19.iso2
G19,G19.iso3
G19,G19.iso4
G20,G20.iso1
G20,G20.iso2
G21,G21.iso1
G21,G21.iso2
G21,G21.iso3
G22,G22.iso1
G22,G22.iso2
G22,G22.iso3
G23,G23.iso1
G23,G23.iso2
G24,G24.iso1
G24,G24.iso2
G24,G24.iso3
G24,G24.iso4
G25,G25.iso1
G25,G25.iso2
G26,G26.iso1
G26,G26.iso2
G26,G26.iso3
G26,G26.iso4
G26,G26.iso5
G27,G27.iso1
G27,G27.iso2
G27,G27.iso3
G27,G27.iso4
G28,G28.iso1
G28,G28.iso2
G29,G29.iso1
G29,G29.iso2
G29,G29.iso3
G29,G29.iso4
G29,G29.iso5
G30,G30.iso1
G30,G30.iso2
G30,G30.iso3
