"genes","isoforms"
"AT1G01060","AT1G01060.2"
"AT1G01060","AT1G01060.3"
"AT1G01060","AT1G01060.4"
"AT1G01060","AT1G01060_ID6"
"AT1G01060","AT1G01060_JS31"
"AT1G01060","AT1G01060_P6"
"AT1G01060","AT1G01060_P7"
"AT1G01140","AT1G01140.2"
"AT1G01140","AT1G01140_P1"
"AT1G01170","AT1G01170.1"
"AT1G01170","AT1G01170.2"
"AT1G01240","AT1G01240_P1"
"AT1G01240","AT1G01240_P2"
"AT1G01240","AT1G01240_P3"
"AT1G01260","AT1G01260_P1"
"AT1G01260","AT1G01260_P3"
"AT1G01340","AT1G01340_JS2"
"AT1G01340","AT1G01340_P2"
"AT1G01448","AT1G01448_ID1"
"AT1G01448","AT1G01448_ID3"
"AT1G01448","AT1G01448_ID4"
"AT1G01490","AT1G01490_P1"
"AT1G01490","AT1G01490_P2"
"AT1G01520","AT1G01520_P1"
"AT1G01520","AT1G01520_P2"
"AT1G01520","AT1G01520_P3"
"AT1G01520","AT1G01520_P4"
"AT1G01520","AT1G01520_P5"
"AT1G01550","AT1G01550_JS1"
"AT1G01550","AT1G01550_P2"
"AT1G01770","AT1G01770_ID7"
"AT1G01770","AT1G01770_P1"
"AT1G01790","AT1G01790_P2"
"AT1G01790","AT1G01790_s1"
"AT1G01920","AT1G01920_P2"
"AT1G01920","AT1G01920_P3"
"AT1G02090","AT1G02090_P2"
"AT1G02090","AT1G02090_P3"
"AT1G02120","AT1G02120_ID34"
"AT1G02120","AT1G02120_ID36"
"AT1G02120","AT1G02120_ID8"
"AT1G02205","AT1G02205_P4"
"AT1G02205","AT1G02205_P5"
"AT1G02300","AT1G02300_ID11"
"AT1G02300","AT1G02300_ID7"
"AT1G02300","AT1G02300_s1"
"AT1G02500","AT1G02500.2"
"AT1G02500","AT1G02500_P1"
"AT1G02840","AT1G02840.3"
"AT1G02840","AT1G02840_c2"
"AT1G02840","AT1G02840_s1"
"AT1G02840","AT1G02840_s2"
"AT1G02930","AT1G02930.2"
"AT1G02930","AT1G02930_P1"
"AT1G02960","AT1G02960_P2"
"AT1G02960","AT1G02960_P4"
"AT1G03010","AT1G03010_JS2"
"AT1G03010","AT1G03010_P1"
"AT1G03090","AT1G03090_P2"
"AT1G03090","AT1G03090_s1"
"AT1G03100","AT1G03100_P1"
"AT1G03100","AT1G03100_s1"
"AT1G03210","AT1G03210_ID4"
"AT1G03210","AT1G03210_P1"
"AT1G03250","AT1G03250_P1"
"AT1G03250","AT1G03250_P4"
"AT1G03370","AT1G03370_P1"
"AT1G03370","AT1G03370_P2"
"AT1G03380","AT1G03380_ID2"
"AT1G03380","AT1G03380_JS1"
"AT1G03400","AT1G03400_P1"
"AT1G03400","AT1G03400_P2"
"AT1G03410","AT1G03410.1"
"AT1G03410","AT1G03410_c1"
"AT1G03550","AT1G03550.1"
"AT1G03550","AT1G03550_ID16"
"AT1G04080","AT1G04080_c1"
"AT1G04080","AT1G04080_ID2"
"AT1G04080","AT1G04080_P1"
"AT1G04080","AT1G04080_s4"
"AT1G04170","AT1G04170_c1"
"AT1G04170","AT1G04170_P1"
"AT1G04240","AT1G04240.1"
"AT1G04240","AT1G04240_ID2"
"AT1G04240","AT1G04240_ID3"
"AT1G04570","AT1G04570_P1"
"AT1G04570","AT1G04570_P2"
"AT1G04620","AT1G04620_P1"
"AT1G04620","AT1G04620_s1"
"AT1G04900","AT1G04900.1"
"AT1G04900","AT1G04900_ID6"
"AT1G05170","AT1G05170.1"
"AT1G05170","AT1G05170_P1"
"AT1G05170","AT1G05170_P2"
"AT1G05320","AT1G05320_P1"
"AT1G05320","AT1G05320_P4"
"AT1G05870","AT1G05870.4"
"AT1G05870","AT1G05870_P1"
"AT1G05970","AT1G05970_P1"
"AT1G05970","AT1G05970_P2"
"AT1G06040","AT1G06040.2"
"AT1G06040","AT1G06040_c1"
"AT1G06040","AT1G06040_c2"
"AT1G06230","AT1G06230_JS4"
"AT1G06230","AT1G06230_s1"
"AT1G06430","AT1G06430_P1"
"AT1G06430","AT1G06430_P2"
"AT1G06570","AT1G06570.1"
"AT1G06570","AT1G06570.2"
"AT1G06645","AT1G06645_ID1"
"AT1G06645","AT1G06645_ID3"
"AT1G06680","AT1G06680.2"
"AT1G06680","AT1G06680_P1"
"AT1G06720","AT1G06720_P2"
"AT1G06720","AT1G06720_s2"
"AT1G06780","AT1G06780_P1"
"AT1G06780","AT1G06780_s2"
"AT1G06890","AT1G06890_P3"
"AT1G06890","AT1G06890_P4"
"AT1G07010","AT1G07010.2"
"AT1G07010","AT1G07010_ID1"
"AT1G07110","AT1G07110_ID6"
"AT1G07110","AT1G07110_P1"
"AT1G07280","AT1G07280_ID2"
"AT1G07280","AT1G07280_P4"
"AT1G07350","AT1G07350_P1"
"AT1G07350","AT1G07350_P2"
"AT1G07350","AT1G07350_P4"
"AT1G07420","AT1G07420_JS1"
"AT1G07420","AT1G07420_P1"
"AT1G07420","AT1G07420_s1"
"AT1G07440","AT1G07440_ID2"
"AT1G07440","AT1G07440_JC7"
"AT1G07440","AT1G07440_P1"
"AT1G07480","AT1G07480.2"
"AT1G07480","AT1G07480_P3"
"AT1G07570","AT1G07570.3"
"AT1G07570","AT1G07570_JS1"
"AT1G07570","AT1G07570_P1"
"AT1G07570","AT1G07570_P2"
"AT1G07570","AT1G07570_P4"
"AT1G07620","AT1G07620_ID2"
"AT1G07620","AT1G07620_JS4"
"AT1G07620","AT1G07620_P1"
"AT1G07620","AT1G07620_P2"
"AT1G07650","AT1G07650_c3"
"AT1G07650","AT1G07650_ID5"
"AT1G07780","AT1G07780_P1"
"AT1G07780","AT1G07780_P2"
"AT1G07780","AT1G07780_P7"
"AT1G07820","AT1G07820.2"
"AT1G07820","AT1G07820_ID1"
"AT1G07840","AT1G07840.1"
"AT1G07840","AT1G07840.2"
"AT1G07890","AT1G07890_P1"
