"Targets","T9_biorep1_techrep1","T9_biorep1_techrep2","T9_biorep1_techrep3","T9_biorep2_techrep1","T9_biorep2_techrep2","T9_biorep2_techrep3","T9_biorep3_techrep1","T9_biorep3_techrep2","T9_biorep3_techrep3","T10_biorep1_techrep1","T10_biorep1_techrep2","T10_biorep1_techrep3","T10_biorep2_techrep1","T10_biorep2_techrep2","T10_biorep2_techrep3","T10_biorep3_techrep1","T10_biorep3_techrep2","T10_biorep3_techrep3"
"AT1G01020_P1",10.861,9.41237,10.6652,8.82086,7.91469,9.33429,11.0853,12.6086,11.0618,8.59854,7.72621,10.0841,9.70736,10.5433,10.9411,11.7948,10.7082,10.8894
"AT1G01020_P5",2.48755,4.28794,1.61578,3.35543,6.22487,4.27568,2.29305,0,4.12652,0,2.09121,0.870558,2.00972,1.07648,1.89603,0.0343089,0.580502,1.68171
"AT1G01060.2",0,0,0,0,0,0,0,0,0,0,0,0,0.846291,0,0.00714533,0.055365,0.234418,0.731038
"AT1G01060.3",0.332697,0.818723,0,0.288658,0.61377,0.477557,0,0,0.14684,0.0421453,0.433892,0.307018,6.73e-07,0.231655,0.513217,0.631934,0.939925,0
"AT1G01060.4",0.222671,0,0.366275,0,0.153535,0.25695,0.297692,0.279325,0.216068,0.510779,0.226799,0,0.58244,0.593544,0.653824,0.878765,0.433661,0.564713
"AT1G01060_JS31",0,0,0,0,0,0,0,0,0,0,0,0.183024,0,0.247884,0.143269,0.479936,0.557837,0.249019
"AT1G01060_P1",0,0,0,0.228875,0.046091,0,0.0816926,0.0921324,0,0.12764,0,0,0,0,0,0.00261401,0.00190077,0
"AT1G01060_P7",0.148166,0,0,0.166992,0,0.164462,0,0,0,0,0.127355,0.212679,0.425777,0.144236,0.463622,0.48786,0.240849,0.604119
"AT1G01110_P1",0,0.694959,0.499876,0.209397,0.461653,0.471166,1.70847,0.730429,0,0,0,0,0.282303,0,0.614106,0.914444,0.428211,0.797005
"AT1G01110_P2",4.43e-09,2.36469,2.30786,1.5407,0.988125,0.985713,1.00692,1.04179,1.81328,2.4819,2.41102,1.59931,2.24308,1.92684,2.88921,2.99146,2.73727,2.38894
"AT1G01110_s1",3.06089,0,0,0,1.02976,1.10515,0,1.17204,0.368852,0,0,1.09007,1.16872,0.500029,0,0.000197967,0.405241,0.42545
"AT1G01160.1",33.2204,35.7915,36.2404,38.7696,36.8523,37.0182,31.2486,27.3841,29.8639,28.2671,27.4887,23.2512,25.5467,27.265,25.0673,25.2117,25.1675,22.7639
"AT1G01160_s1",4.86726,7.51305,6.2043,4.42751,4.92029,5.69681,4.62611,7.06302,7.0045,3.18118,4.18775,3.85541,2.21348,2.62409,2.56074,2.63176,3.13033,2.3899
"AT1G01220_P1",14.2526,14.1514,14.9276,11.0123,12.8233,10.778,11.8439,10.9822,11.1338,11.7987,8.33525,7.40611,7.70833,3.81284,8.96134,8.88667,4.15979,7.99782
"AT1G01220_P4",2.20847,0.245696,0.0418449,4.13314,1.10074,3.09521,1.70617,4.21124,3.76006,0.144521,4.15997,1.56602,3.61254,4.64927,1.86907,1.68599,6.76166,3.65675
"AT1G01220_P5",9.63e-07,4.62392,4.00213,4.27e-07,2.68388,0.126247,0.0571415,0.000618448,0.153093,5.60437,2.36871,8.1051,2.20455,0.418517,1.80698,1.99597,0.000183243,0.000385402
"AT1G01220_P6",1.99846,0.0269903,0.0119944,2.4735,2.66e-07,2.85015,3.87522,1.96884,1.50793,0.0199964,2.77618,0.618208,4.01002,6.60996,2.81507,2.09779,4.63968,5.14433
"AT1G01260_P1",4.88634,6.28609,6.72823,5.47068,4.68816,4.75007,6.1583,5.63894,6.42944,7.63759,8.30715,10.7811,8.09256,7.36132,8.57056,7.29927,9.23083,9.31006
"AT1G01260_P3",4.14259,3.76187,3.37615,2.27772,3.08541,3.7725,2.85186,3.49283,2.09561,2.72222,2.46444,1.58299,1.37366,1.80046,1.79701,3.21889,2.5819,2.09373
"AT1G01290_P1",3.69442,4.26439,4.90754,4.02592,2.61073,4.46697,4.25075,3.56268,3.92715,3.59342,2.22044,2.2035,2.39793,2.71856,1.96053,3.23284,2.70849,3.07632
"AT1G01290_P2",12.3311,8.79384,10.8936,9.7807,8.54134,9.15069,7.67608,9.22869,8.24374,8.64272,9.42021,9.48092,10.2057,9.73479,11.6215,8.68746,10.8561,10.5648
"AT1G01340_JS2",0.52266,0,1.42561,1.3281,1.92334,0.151262,0.183318,1.10806,0.904712,2.08986,3.75981,1.87458,0.94268,1.03236,0.84448,1.62397,2.14486,2.81902
"AT1G01340_P2",4.49664,4.76968,2.96434,1.92726,0.470988,1.94116,1.77902,1.71909,2.05164,13.1975,11.7807,13.6358,12.6205,11.7309,11.537,14.4826,14.7318,13.699
"AT1G01370_P2",1.84634,0.894555,0.8617,2.29282,2.60343,2.99121,2.35131,1.51142,2.05413,1.64348,2.93738,2.19358,2.76036,2.92869,2.97154,3.28422,2.97399,2.15413
"AT1G01370_P3",2.65775,1.31074,3.73276,2.08882,3.28293,1.76076,2.47947,1.1291,1.20044,2.77098,0.757003,2.07745,2.50374,1.87112,1.83363,2.29296,2.54991,2.57944
"AT1G01448_ID1",3.7859,4.33097,2.24242,2.3367,2.45508,3.28162,2.37048,1.72865,2.31181,2.56956,1.97652,2.20753,2.41138,2.35924,2.14728,2.74759,2.02798,1.82209
"AT1G01448_ID3",5.32396,5.1941,5.09957,3.96923,4.7166,4.87159,3.40862,3.08294,3.53688,3.37246,3.93898,3.17459,3.36322,3.46345,3.12031,3.43131,4.00608,4.29391
"AT1G01520_P1",1.31408,2.01133,2.73036,0.326246,1.1429,0.853745,0.464899,0.861839,1.14435,0.61009,0.322891,0.357273,0.167327,0.155038,0,0.541124,0,0.360952
"AT1G01520_P2",0,0.940953,0,0.322179,0,0.338805,0,0,0,0,0,0,0,0,0,0,0,0
"AT1G01520_P3",0.412053,0.00197723,0.356825,0,0,0.0270543,0,0,0,0,0,0,0,0,0.293621,0.125436,0,0.160069
"AT1G01520_P5",1.03393,0.264505,0.490739,0.442164,0.21916,0.304407,0.775122,0.400299,0.313974,0,0,0,0,0.070925,0.145613,0,0,0
