replicates,rep1,rep2,rep3,rep4,rep5,rep6,rep7,rep8,rep9,rep1,rep2,rep3,rep4,rep5,rep6,rep7,rep8,rep9,rep1,rep2,rep3,rep4,rep5,rep6,rep7,rep8,rep9,rep1,rep2,rep3,rep4,rep5,rep6,rep7,rep8,rep9,rep1,rep2,rep3,rep4,rep5,rep6,rep7,rep8,rep9,rep1,rep2,rep3,rep4,rep5,rep6,rep7,rep8,rep9,rep1,rep2,rep3,rep4,rep5,rep6,rep7,rep8,rep9,rep1,rep2,rep3,rep4,rep5,rep6,rep7,rep8,rep9,rep1,rep2,rep3,rep4,rep5,rep6,rep7,rep8,rep9,rep1,rep2,rep3,rep4,rep5,rep6,rep7,rep8,rep9,rep1,rep2,rep3,rep4,rep5,rep6,rep7,rep8,rep9,rep1,rep2,rep3,rep4,rep5,rep6,rep7,rep8,rep9,rep1,rep2,rep3,rep4,rep5,rep6,rep7,rep8,rep9,rep1,rep2,rep3,rep4,rep5,rep6,rep7,rep8,rep9,rep1,rep2,rep3,rep4,rep5,rep6,rep7,rep8,rep9,rep1,rep2,rep3,rep4,rep5,rep6,rep7,rep8,rep9,rep1,rep2,rep3,rep4,rep5,rep6,rep7,rep8,rep9,rep1,rep2,rep3,rep4,rep5,rep6,rep7,rep8,rep9,rep1,rep2,rep3,rep4,rep5,rep6,rep7,rep8,rep9,rep1,rep2,rep3,rep4,rep5,rep6,rep7,rep8,rep9,rep1,rep2,rep3,rep4,rep5,rep6,rep7,rep8,rep9,rep1,rep2,rep3,rep4,rep5,rep6,rep7,rep8,rep9,rep1,rep2,rep3,rep4,rep5,rep6,rep7,rep8,rep9,rep1,rep2,rep3,rep4,rep5,rep6,rep7,rep8,rep9,rep1,rep2,rep3,rep4,rep5,rep6,rep7,rep8,rep9,rep1,rep2,rep3,rep4,rep5,rep6,rep7,rep8,rep9
time,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,5,5,5,5,5,5,5,5,5,6,6,6,6,6,6,6,6,6,7,7,7,7,7,7,7,7,7,8,8,8,8,8,8,8,8,8,9,9,9,9,9,9,9,9,9,10,10,10,10,10,10,10,10,10,11,11,11,11,11,11,11,11,11,12,12,12,12,12,12,12,12,12,13,13,13,13,13,13,13,13,13,14,14,14,14,14,14,14,14,14,15,15,15,15,15,15,15,15,15,16,16,16,16,16,16,16,16,16,17,17,17,17,17,17,17,17,17,18,18,18,18,18,18,18,18,18,19,19,19,19,19,19,19,19,19,20,20,20,20,20,20,20,20,20,21,21,21,21,21,21,21,21,21,22,22,22,22,22,22,22,22,22,23,23,23,23,23,23,23,23,23,24,24,24,24,24,24,24,24,24,25,25,25,25,25,25,25,25,25,26,26,26,26,26,26,26,26,26
G1.iso1,14.1761,18.6327,13.649,1.86992,2.48035,3.2367,2.18866,3.21275,4.2123,14.6088,14.1251,18.543,7.89645,7.38508,6.14277,7.43144,9.20143,11.2784,12.4315,16.5946,15.4235,9.9452,6.05688,7.08548,8.95513,4.89405,5.80341,13.9685,8.75304,16.9365,5.3337,7.2708,9.70701,9.39769,5.67466,4.92689,11.9552,16.171,9.11967,6.03361,5.61268,5.54443,6.29433,6.8221,5.22902,8.72858,9.77699,16.8383,4.59145,37.6677,36.1092,0.535857,1.284,4.58581,9.20127,9.34525,9.71489,5.3731,2.40381,3.86548,3.14205,46.3432,5.88771,7.30736,65.7951,63.8437,4.98606,4.77195,28.5047,3.41139,3.77989,2.88105,6.17337,75.9599,97.882,2.71846,4.38181,1.62954,4.9347,4.48949,5.66421,9.19665,11.1217,10.491,10.2471,9.85431,8.07958,9.38472,8.64484,9.32837,10.0349,158.573,115.387,7.66676,8.74781,6.20606,6.18338,51.7347,66.3627,9.33719,7.50029,10.9342,4.35787,4.68718,5.06924,4.68996,7.69044,61.2853,10.2525,13.3677,9.82866,6.18107,4.89159,5.10462,4.71614,5.03281,5.32179,3.76532,11.4112,5.802,3.70882,3.61802,3.92802,5.00891,31.7488,43.7976,9.17554,11.1732,3.45936,3.80668,3.17107,3.91275,4.0944,2.89423,3.94797,5.71514,6.00611,6.54798,1.48663,1.83587,4.26045,3.53746,2.12871,3.21719,4.8942,7.89197,3.91794,0.489408,3.32467,4.85274,3.25691,4.33321,4.04929,9.07335,51.1577,109.169,2.78576,2.04494,1.66177,1.81806,35.4423,30.7689,8.12339,5.40501,8.01336,3.52344,2.40109,5.68326,2.79315,0.965262,2.7117,9.23122,7.81313,6.68878,3.17493,1.82309,2.57024,3.23333,3.70614,2.78738,5.34757,8.44125,6.81216,4.1298,34.8646,25.2104,49.9089,55.7976,28.7082,8.91951,9.36495,12.0007,1.76152,40.3079,28.451,3.23244,1.43667,2.72469,10.1042,7.68022,9.34517,1.54502,31.7457,23.88,36.3235,42.1024,52.4761,5.23084,3.74803,5.5829,2.25181,1.03716,2.8173,3.48192,28.888,34.3482,7.84495,5.45221,8.95165,1.88852,3.59078,1.78393,2.92798,4.77284,1.91455,7.956,7.62387,3.58308,1.75065,3.24993,2.50803,4.70853,3.54227,2.25643
G2.iso1,0,0,0,0,0,0,0,0,0.0897525,0,0,0,0,0.277609,0.205588,0,0,0,0,2.56233e-06,0.36385,0.604161,0.539791,0.373839,0.724947,0.464467,5.67199e-06,2.59123,0,0.273123,5.87019,3.70472,2.11808,6.69849,5.59376,1.25769,8.59941,12.0899,17.1637,12.2061,14.1373,14.4123,16.5977,20.6056,19.9831,3.60128,2.43426,4.50919,0.193748,1.10428,1.67437,1.35726,1.76735,0.906184,0.670326,0.183557,0.377017,0,0,0,0.513325,0,0.2586,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.846291,0,0.00714533,0.055365,0.234418,0.731038,35.384,37.4022,35.4449,38.0522,40.9703,44.43,30.6785,32.5889,34.6281,137.076,133.58,124.275,161.161,161.834,166.974,136.368,142.856,138.939,157.228,148.03,151.139,204.046,201.864,196.152,161.954,173.93,168.259,104.309,108.722,97.087,136.833,143.668,139.094,101.043,105.01,99.2828,72.9197,72.7606,75.7249,27.8362,30.1158,29.3879,40.6298,43.5224,42.7273,21.9018,23.8276,24.2664,12.0111,14.5054,12.8548,6.03096,7.10415,5.35013,14.2338,17.3547,16.4009,2.07969,3.62181,4.93506,1.62246,1.03941,1.04554,2.12815,0.000935168,0.267179,1.0149,1.84563,0.893336,0.526889,0.922164,0.39425,0.68665,0,0.299394,0,0.1547,0.204931,0.448125,0.284212,0,0.0162455,3.6034e-06,2.219,5.14625,0.374228,1.27688,1.30129,3.37515,2.0626,5.87658,4.66915,4.46776,14.9332,15.5891,20.5386,16.7214,21.8454,18.2217,8.64653,13.3451,13.3682,34.3257,28.4104,26.3151,23.698,26.3292,27.0632,17.3062,17.4096,15.4263,21.164,26.8568,22.1005,24.5539,28.7171,28.9414,3.75806,5.24775,5.76004,9.92138,13.8348,12.4526,9.30207,9.04083,10.8989,0.862021,0.43739,0.977787,2.19243,1.653,1.54557,0.81591,1.00285,1.16818,0.416722,1.38107,1.11073,0,0.720854,0,0.867173,0.118465,0.309778
G2.iso2,0.238935,0.645052,0.390966,0,0.158189,0.353479,0.0708179,0.317015,0.0721959,0.227626,0.452784,0.00574952,0,0.413527,0.621243,0.198048,0.674659,1.20501,12.4311,10.585,10.956,10.2312,12.1931,10.9924,9.3441,10.0641,9.42282,148.616,136.799,146.116,144.97,145.089,147.534,125.361,123.551,137.382,310.265,303.847,293.687,339.154,330.188,329.358,302.529,317.774,302.397,45.8959,52.6228,43.2259,27.1624,27.5708,21.2128,16.7606,17.5386,19.0929,1.50417,0.591429,2.42859,0.88171,1.58739,1.3621,1.07803,0.576246,1.09805,0.297299,0,0.32236,0.360225,0.0199749,0.146348,0.140668,0,0,0.332697,0.818723,0,0.288658,0.61377,0.477557,0,0,0.14684,0.0421453,0.433892,0.307018,6.72701e-07,0.231655,0.513217,0.631934,0.939925,0,31.2144,28.8386,25.6471,20.5732,22.6742,17.0122,7.21303,9.95495,4.49654,106.035,96.2985,108.299,106.225,99.4245,93.4041,62.9785,56.1858,59.3489,169.466,181.324,177.973,86.9108,78.3449,85.3938,179.973,170.184,172.415,118.387,124.197,128.37,106.525,97.0497,98.4281,120.49,126.531,119.6,75.7206,78.3179,70.2731,62.1068,60.8753,63.9966,63.6613,53.6657,58.213,34.3379,24.5294,28.1317,16.6214,21.6882,21.7874,12.5553,12.7838,9.59521,22.703,20.1953,20.1,4.61659,3.45619,5.59448,3.74762,4.27555,3.47244,4.56329,6.66975,6.45441,4.04865,3.77315,3.8756,1.48665,1.25732,1.12625,4.00662,0.948397,1.36657,6.6231e-10,1.16767,0.359855,1.15401,2.19859,1.66611,6.40765,7.56595,5.98342,3.56968,0.738046,2.47988,1.86943,0.105831,2.08389,40.7632,35.8651,40.3968,10.2118,13.9998,12.7752,17.296,13.104,15.3826,95.9978,100.479,87.5929,45.4315,49.3493,52.818,25.0011,25.6174,25.673,106.105,112.89,115.41,68.6221,70.6068,74.6812,48.5118,49.0113,46.8295,22.4524,26.568,28.4385,26.8475,24.1874,27.4734,25.5068,23.9766,27.3679,6.70022,6.69445,7.03194,4.30817,5.73612,6.64931,4.82173,5.39279,5.12721,2.17518,2.99606,2.26405,0.0860453,0.0286664,1.21472,1.98833,2.86033,2.77136
G2.iso3,0.492209,0.26018,0.277574,0.418082,0,0,0,0,0,0.278951,0.347184,0.574455,0.172537,0,0.214168,0.558931,0.302261,0,8.7982,9.95128,7.37037,7.47532,6.95864,8.12434,7.54326,7.04324,8.25053,100.781,105.861,106.845,101.315,100.244,102.718,102.387,93.758,96.053,231.925,226.056,246.268,209.966,223.515,217.661,230.836,221.943,239.387,41.0344,35.983,38.2973,21.5293,19.0668,21.6558,16.7526,17.0874,18.6434,1.78386,2.13048,2.3065,0.808122,0.290195,1.19848,1.10015,0.871336,1.2831,0,0.442408,0.0714007,0,0.1811,0,0,0.286475,0.00780969,0.222671,0,0.366275,0,0.153535,0.25695,0.297692,0.279325,0.216068,0.510779,0.226799,0,0.58244,0.593544,0.653824,0.878765,0.433661,0.564713,26.4934,25.668,26.3067,26.5123,20.4211,19.2318,17.9351,17.8846,20.8707,65.139,71.4493,66.3262,57.4286,60.347,61.3486,53.2625,53.5503,54.01,96.6306,89.9236,87.9908,61.0361,64.3033,64.5061,78.8852,84.7859,89.7239,62.4638,57.9866,58.8616,54.4553,52.0284,54.8443,63.4124,56.6828,60.687,30.0976,29.4225,31.6493,31.0571,32.8003,27.0595,29.6069,32.8085,29.3859,17.7484,17.6,16.6193,10.4545,7.61747,8.33509,10.3556,8.50405,7.54732,9.28058,9.51656,10.2306,4.07152,2.97907,2.78636,2.95715,1.62628,3.37867,3.21863,2.67357,6.08559,2.39548,2.86478,2.75147,2.11557,1.29984,0.450758,2.76496,2.63034,2.73374,1.41677,0.986629,0.584875,0.769764,0,0.481948,8.25803,10.6555,8.73221,5.56431,9.58327,6.85832,6.43493,5.35469,4.88619,26.4193,31.3388,26.3235,22.623,23.2934,21.8886,43.6193,37.9564,38.4021,52.7069,50.4449,58.7522,38.81,38.1762,36.3284,29.5049,32.035,30.0674,59.1883,54.0392,56.9305,41.8206,39.4112,40.9483,38.9753,35.6986,38.5406,16.337,15.966,18.2814,16.1794,16.4694,16.6667,17.3744,16.8724,13.8078,2.30002,3.437,5.99392,5.5612,4.47852,3.86275,1.8322,3.81025,3.53408,2.24214,2.47913,1.41011,0,0,0.913145,1.57698,0.765911,1.7475
G2.iso4,0,0,0,0,0,0,0,0,0.176241,0,0,0.174512,0.33078,0,0,0,0,0,0.197207,0,0.211498,0,0.550549,0,0,0,0,1.04168,2.27161,1.72604,1.22025,1.66652,1.13656,0.956711,0.848342,0,1.1363,2.44158,2.67482,1.26065,2.67928,1.33364,1.81958,0.829554,0.965386,0.499773,0.276467,0,0,0.26364,0.218799,0.198944,0.203454,0.379874,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.258446,0,0,0,0,0,0,0,0,0.0872795,0,0,0,0.136702,0.137128,0,0,0,0.283749,3.47052,2.34999,2.88394,4.4112,4.85633,3.91739,6.47324,5.18621,6.41889,4.70839,3.43262,5.1688,5.8301,6.25617,5.14564,6.69548,6.32903,6.97465,0.775863,1.60814,1.0443,3.82826,5.4391,4.99642,4.3669,3.59777,4.00496,1.99563,1.48614,2.119,0.697757,1.11223,0.804864,0.853214,0.856244,1.01966,0.191007,0.359121,0.164209,0,0,0,0.190505,0,0,0.265139,0.247981,0,0,0,0,0,0.217441,0,0.297943,0,0,0,0.506295,0,0,0,0,0.218798,0,0,0,0,0,0,0,0,0,0,0,0.118694,0,0.150178,0,0.292495,0.208717,0.986134,1.17296,0.402989,1.03781,0.616307,0.805455,0.440428,0.43217,0.914834,2.1539,1.33306,0.96248,1.06126,1.54302,1.22321,2.48408,4.26771,4.53142,1.86707,2.61159,1.24776,2.03895,2.18647,0.684833,0.493919,0.670278,0.638465,0.388693,0.407197,0.58753,0,0.181459,0,0.472957,0.79607,0.159572,0.169458,0,0.348311,0.163947,0.157952,0.168546,0,0.341047,0.191808,0,0,0,0,0.233364,0,0,0,0,0,0,0,0,0,0.167179,0,0.261324,0.238982
G2.iso5,0,0,0,0,0,0,0,0,0,0,0,0,0.145852,0,0,0,0,0,0,0,0.0048895,0,0,3.98847e-07,0,0,0.304224,3.05389,1.04507,1.79009,2.45459,0.947604,1.812,1.39785,0.941993,0.872162,3.85864,5.63136,2.28397,1.08146,2.27369,4.18358,1.94741,3.79892,4.50693,0.601526,0.295065,0.512038,0.216037,0,0.482388,0,0,0.226714,0.200514,0,0,0,0.15965,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.183024,0,0.247884,0.143269,0.479936,0.557837,0.249019,10.8501,14.6639,11.3341,6.18781,8.37013,9.38586,11.8427,10.1013,12.3571,31.8263,34.3069,39.0565,18.8112,19.4193,19.9945,19.4633,19.1543,19.6183,75.3362,71.6328,80.3893,20.0619,27.0217,26.8905,34.8494,34.0909,34.0211,29.8363,33.6476,36.1031,16.4967,16.1693,14.5145,14.4232,15.5971,18.9044,16.199,13.1242,17.534,3.1245,4.28549,3.34876,3.20108,4.27821,4.88576,1.59721,3.5581,1.86946,0.679672,0.344687,1.04698,0.372332,0.414901,0.588006,1.3183,1.36003,2.304,0.33352,0.26351,0.423506,0,0.203061,0.194968,2.2023,0.582245,1.19541,0.562082,0.289869,0.536701,0,0,0,0.760808,0.699791,0.813948,0.244044,0.297204,0.55956,0.620545,0.743108,0.565913,12.3035,7.42267,11.43,4.37835,8.54402,5.08285,7.89455,7.0511,5.10854,41.3752,38.981,41.7606,22.9249,21.5728,21.5337,34.5334,42.5549,39.5329,73.1763,71.7601,77.7397,35.4093,37.0954,35.2974,26.9866,28.0075,31.5638,37.0714,33.28,34.3366,22.4652,19.3447,17.7974,26.8265,29.074,31.0295,3.03241,3.79344,3.04476,6.47459,5.05435,3.02949,4.71422,4.40855,4.54756,0.993877,1.27155,0.451929,0.247951,0,0.187522,0.26708,0,8.64574e-05,0,0.283086,0.64132,0,0.200422,0.397952,0.259838,0.660244,0.32874
G2.iso6,7.82442e-10,4.18689e-06,0,0,0,0,0.159394,0,7.72292e-10,0.281377,0.21738,0,0,0.107627,0,0.344989,0,0,5.5644e-07,0.527799,0.0129099,0.00133356,0.104183,2.10725e-07,1.66251,2.64234,1.99906,9.29844e-05,3.1576e-05,0.00034204,0.000866469,0.273408,0.00124977,0.00204752,0.0206144,8.5512e-06,0.70327,4.32743,0.730193,9.11931,2.12232,5.28697,29.4716,37.4242,24.4392,21.4092,21.385,26.9246,7.25063,6.64241,11.5897,5.68191,3.15829,1.63226,1.10551,2.981,0,0.199181,0,0,0.51505,0.839566,9.84011e-09,0,0,0,0,0,0,0,0,0.0024706,0,0,0,0.228875,0.046091,0,0.0816926,0.0921324,0,0.12764,0,0,0,0,0,0.00261401,0.00190077,0,0,0,0,0,0,0,3.37968e-09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.90549e-08,0,0,0,0,0,1.42163e-08,0,0,0,0,0,0.0693688,0.0411316,6.54344,0.00822756,1.92849e-08,0.00563322,2.12458,5.25556,4.71246,3.29458,0.258345,0.372669,1.29582e-08,0.00268221,5.6186,2.48905e-09,3.31268e-07,0.000123272,0.000123784,0.961937,0.122423,0.592142,2.70164,1.66564,1.66251,3.27174,1.65464,0.912354,0.82424,0.886599,0.438639,0,1.8332,0.286516,2.54068,0.669901,0,0,0.0266021,0,0.133463,0.787774,0,0,1.12725e-06,0,5.22724e-10,4.12875e-05,0,0,0,0,0,0,0,0,0,1.29569e-09,6.94387e-09,3.48202e-08,0,0,0,0,0,0,0,0,0,0.000706223,0.000249192,9.40218e-05,0,0,7.62432e-08,4.99261e-09,0,3.5833e-10,9.11988,6.64412,2.10662,0.000305589,0.00652789,0.000134803,9.93091e-08,1.29213e-06,0.00876438,3.42164,1.51018,0.603441,0.924049,1.73218,1.24814,3.40281,4.30871e-05,2.05715e-06,2.15192,0.330526,2.0376,2.05674,1.00547,0,1.17581,0.577226,0.000305202
G2.iso7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.607048,0.50542,0.90749,0.53267,0,0.249488,0.376557,0.136031,0.147484,4.00042,6.52143,7.93136,2.48466,6.44866,4.05845,2.75319,4.22774,5.89233,9.24979,5.19891,8.16332,5.68445,3.00677,4.78968,4.00004,3.05058,4.46859,0,0.12686,0.169037,5.6967e-10,0.127865,7.08124e-10,0,0,0.16119,7.09141e-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00025958,0.324742,0.641738,0.597994,0.419851,0.00773535,0.112119,19.355,18.9961,20.6063,11.7805,8.52237,10.0727,14.5207,12.5467,10.3511,33.5275,36.7387,33.1811,14.6372,15.7562,17.6547,23.4802,29.4048,28.504,46.5168,46.7629,44.5988,24.1353,30.0298,22.7787,14.4131,15.158,17.7148,8.37846,5.11111,8.70588,5.69498,4.35282,8.8474,1.50158,1.94916,1.94742,2.21634,2.57723,2.3197,0.289495,0.299479,0.213434,0,0.37521,0.570365,0,0.266414,0,0,0,0.318175,0,0.395677,0,0.278991,0,0,0.272587,3.10874e-08,0,0,0,0,0,0.18335,0.239073,0,0.170951,0.321856,0,0.24035,0,0,0,0.141676,0.749431,0.440403,0.390284,0,0,0,8.27333,7.88452,6.04189,1.05291,3.91753,5.81248,3.62678,3.67017,5.22062,22.5778,23.9933,19.6573,15.3302,13.848,11.3779,22.4963,14.4766,18.9254,24.8257,25.2312,22.6263,12.3217,15.2176,15.8913,15.4988,13.0191,11.7829,2.53201,1.31886,3.77756,2.97216,1.47025,1.42871,2.10756,4.78929,4.49118,0,0,0,0,0,0,0.311405,0,0,0,0,0,2.74236e-08,0,0,2.28788e-06,0,0.467749,0,8.34106e-07,0,0.00752231,0,0,0,0,0
G2.iso8,0.32112,0.14576,0.262584,0,0,0.0677071,0,0,0.0888513,0.310436,0,0.316664,0.18825,0.170233,0,0,0.187909,0.188007,6.10045,6.17141,6.39911,5.22887,4.36426,4.50304,4.16322,3.75642,4.76225,65.9158,68.8934,59.6377,58.8528,59.507,57.1836,52.3649,52.8449,48.1051,91.6617,98.0079,93.5473,64.1033,74.0438,72.8174,64.3731,69.863,65.7589,6.65301,5.87702,5.30259,2.75842,3.27097,2.64052,2.61888,2.284,2.52689,0.546769,0.366237,0.989255,0.226046,0.157546,0.291318,0,0,0.142325,0,0,0,0,0,0,0,0,0,0.148166,0,0,0.166992,0,0.164462,0,0,0,0,0.127355,0.212679,0.425777,0.144236,0.463622,0.48786,0.240849,0.604119,19.3032,20.4707,26.8081,12.6153,13.9966,13.6506,10.0515,12.1268,10.0778,30.7014,30.7667,31.6894,26.8184,30.2625,33.5989,26.688,24.6903,28.6787,27.5765,26.1346,28.6596,17.5883,17.2911,21.8117,34.2491,30.0878,29.2265,25.9735,26.1755,22.2949,13.4652,17.4014,14.4253,20.4687,20.1708,19.8345,5.56052,8.95576,8.16362,5.61277,7.40812,5.33402,5.87198,5.36435,6.61501,2.61081,2.46907,1.83935,1.20425,1.85248,1.93387,0.87001,1.64439,1.11568,1.84444,2.35731,1.56109,1.1082,1.40229,0.830625,0.700023,0,0.692931,2.60703,2.28953,1.80082,0.432269,1.00556,1.05647,0,0.412212,0.164064,0.703684,1.41701,2.47387,0.49297,0.251905,0,0.34426,0,0,9.35311,10.6747,8.5226,4.75915,2.78455,3.55785,3.65671,4.48215,5.34346,22.4831,25.3885,28.7088,14.5368,15.8416,13.653,23.4241,23.0444,22.1474,40.2576,37.2154,41.9818,20.0831,18.8617,22.2335,16.6528,13.5313,12.7354,37.3982,40.6547,34.8623,19.1595,20.3379,22.6526,26.7197,27.619,20.7087,5.73695,6.3076,5.4829,5.69069,5.44108,6.59312,4.2577,4.41265,5.02372,2.48705,2.95922,1.63557,1.38001,0.620462,1.49802,0.246567,0.740788,0.570937,0.637833,0.528878,0.531695,0,0.556633,0.503023,0.483718,0.691083,1.08595
